episode,env_steps,return,length,success,collisions,final_dist_m,goal_dist_m,alpha,curriculum_max_dist_m,target_entropy,stuck
1,500,-59.29,500,0,16,1.745,1.316,1.0,3.0,-3.007,0
2,897,-97.63,397,0,24,7.465,2.687,1.0,3.0,-3.013,1
3,1397,-73.85,500,0,65,4.47,2.585,1.0,3.0,-3.02,0
4,1834,-81.34,437,0,82,4.632,1.684,1.0,3.0,-3.026,1
5,2334,-93.22,500,0,15,5.635,1.812,0.9061,3.0,-3.033,0
6,2834,-23.36,500,0,1,2.096,2.46,0.7915,3.0,-3.04,0
7,3334,-73.5,500,0,0,6.976,2.127,0.6979,3.0,-3.048,0
8,3834,-60.26,500,0,0,5.855,2.329,0.6174,3.0,-3.055,0
9,4334,-10.11,500,0,0,1.252,2.741,0.546,3.0,-3.062,0
10,4834,-26.29,500,0,1,2.763,2.834,0.482,3.0,-3.069,0
11,5334,-22.12,500,0,0,1.685,1.973,0.4266,3.0,-3.076,0
12,5644,83.9,310,1,9,0.3,2.04,0.3952,3.0,-3.081,0
13,6144,-46.42,500,0,22,1.851,2.708,0.3482,3.0,-3.088,0
14,6163,126.36,19,1,0,0.231,2.962,0.3464,3.0,-3.088,0
15,6663,-24.86,500,0,1,1.51,1.723,0.3047,3.0,-3.095,0
16,6697,-17.6,34,0,7,1.24,1.05,0.3014,3.0,-3.096,1
17,6704,-14.82,7,0,6,2.42,2.174,0.3008,3.0,-3.096,1
18,7204,-24.33,500,0,1,2.421,2.687,0.2639,3.0,-3.103,0
19,7212,112.88,8,1,0,0.224,1.552,0.2634,3.0,-3.103,0
20,7222,-1.96,10,0,5,1.593,2.446,0.2627,3.0,-3.103,1
21,7276,111.32,54,1,0,0.105,1.507,0.2591,3.0,-3.104,0
22,7283,-13.58,7,0,6,1.404,1.282,0.2587,3.0,-3.104,1
23,7294,-5.7,11,0,5,1.684,2.169,0.2579,3.0,-3.104,1
24,7299,-10.25,5,0,5,2.21,2.21,0.2576,3.0,-3.104,1
25,7409,97.7,110,1,10,0.286,2.607,0.2507,3.0,-3.106,0
26,7671,-37.13,262,0,16,1.335,1.933,0.2356,3.0,-3.11,1
27,8171,-33.65,500,0,0,2.933,2.068,0.2082,3.0,-3.117,0
28,8671,-12.27,500,0,1,1.485,2.958,0.1834,3.0,-3.124,0
29,9171,-26.76,500,0,0,3.089,2.912,0.162,3.0,-3.131,0
30,9223,-19.89,52,0,19,1.714,2.985,0.1597,3.0,-3.132,1
31,9306,87.82,83,1,25,0.245,2.442,0.1565,3.0,-3.133,0
32,9806,-21.9,500,0,0,0.989,1.299,0.1395,3.0,-3.14,0
33,10306,-10.31,500,0,0,0.526,1.996,0.1257,3.0,-3.147,0
34,10806,-22.77,500,0,0,1.924,2.148,0.1134,3.0,-3.154,0
35,11306,-54.2,500,0,20,2.33,2.409,0.1026,3.0,-3.162,0
36,11310,114.5,4,1,0,0.267,1.736,0.1026,3.0,-3.162,0
37,11810,-17.42,500,0,0,1.502,2.26,0.0957,3.0,-3.169,0
38,11823,123.63,13,1,0,0.243,2.671,0.0954,3.0,-3.169,0
39,11890,115.59,67,1,1,0.277,2.372,0.0938,3.0,-3.17,0
40,12390,-15.75,500,0,0,0.93,1.855,0.0866,3.0,-3.177,0
41,12890,-12.57,500,0,0,1.638,2.881,0.0796,3.0,-3.184,0
42,12895,-10.25,5,0,5,2.977,2.977,0.0795,3.0,-3.184,1
43,12904,-4.0,9,0,5,2.038,2.683,0.0793,3.0,-3.184,1
44,12934,-23.87,30,0,10,1.66,1.423,0.0788,3.0,-3.185,1
45,13434,-37.62,500,0,6,1.164,1.102,0.0743,3.0,-3.192,0
46,13448,-7.73,14,0,6,1.239,1.736,0.0741,3.0,-3.192,1
47,13453,-10.25,5,0,5,2.546,2.546,0.0741,3.0,-3.192,1
48,13953,-28.14,500,0,5,1.589,2.275,0.0709,3.0,-3.199,0
49,14453,-28.34,500,0,0,2.237,1.903,0.0691,3.0,-3.206,0
50,14953,-6.88,500,0,0,0.85,2.662,0.0692,3.0,-3.214,0
51,15002,121.37,49,1,0,0.133,2.514,0.0689,3.0,-3.214,0
52,15065,107.48,63,1,4,0.269,2.132,0.0689,3.0,-3.215,0
53,15075,0.4,10,0,5,1.374,2.465,0.0688,3.0,-3.215,1
54,15094,121.76,19,1,0,0.252,2.523,0.0686,3.0,-3.216,0
55,15105,111.18,11,1,0,0.218,1.391,0.0686,3.0,-3.216,0
56,15114,-12.8,9,0,8,2.288,2.654,0.0685,3.0,-3.216,1
57,15614,-9.04,500,0,0,0.971,2.568,0.0692,3.0,-3.223,0
58,16114,-16.1,500,0,0,0.846,1.736,0.0682,3.0,-3.23,0
59,16122,-10.78,8,0,7,1.588,1.95,0.0681,3.0,-3.23,1
60,16365,-36.01,243,0,24,1.832,2.446,0.0673,3.0,-3.234,1
61,16391,-15.03,26,0,12,0.785,1.812,0.0674,3.0,-3.234,1
62,16424,120.6,33,1,1,0.156,2.581,0.0676,3.0,-3.235,0
63,16431,110.97,7,1,0,0.291,1.423,0.0676,3.0,-3.235,0
64,16872,101.2,441,1,0,0.299,2.624,0.0677,3.0,-3.241,0
65,16901,104.26,29,1,10,0.203,2.774,0.0673,3.0,-3.241,0
66,16907,-10.49,6,0,5,2.081,2.062,0.0671,3.0,-3.242,1
